ThreeDigitZips
ABERDEEN SD 574
ABILENE TX 768
ABILENE TX 795
ABILENE TX 796U
AKRON OH 442
AKRON OH 443U
ALAMOGORDO NM 883
ALAMOSA CO 811
ALBANY GA 317
ALBANY GA 398
ALBANY NY 120
ALBANY NY 121
ALBANY NY 122U
ALBUQUERQUE NM 870
ALBUQUERQUE NM 871U
ALBUQUERQUE NM 872U
ALBUQUERQUE NM 875
ALEXANDRIA LA 713
ALEXANDRIA LA 714
ALEXANDRIA VA 223U
ALLENTOWN PA 181U
ALLIANCE NE 693
ALTOONA PA 166
ALTOONA PA 168
AMARILLO TX 790
AMARILLO TX 791U
ANAHEIM CA 928
ANCHORAGE AK 995
ANCHORAGE AK 996
ANNAPOLIS MD 214U
ANNISTON AL 362
APO AE 090
APO AE 091
APO AE 092
APO AE 093
APO/FPO AA 340
APO/FPO AE 094
APO/FPO AE 096
APO/FPO AE 097
APO/FPO AE 098
APO/FPO AE 099
APO/FPO AP 962
APO/FPO AP 963
APO/FPO AP 964
APO/FPO AP 965
ARDMORE OK 734
ARLINGTON VA 222U
ASHEVILLE NC 287
ASHEVILLE NC 288U
ASHEVILLE NC 289
ASHLAND KY 411
ASHLAND KY 412
ATHENS GA 305
ATHENS GA 306
ATHENS OH 457
ATLANTA GA 302
ATLANTA GA 303U
ATLANTA GA 311U
ATLANTA GA 399
ATLANTIC CITY NJ 084U
AUGUSTA GA 298
AUGUSTA GA 308
AUGUSTA GA 309U
AUSTIN TX 733
AUSTIN TX 786
AUSTIN TX 787U
AUSTIN TX 789
BAKERSFIELD CA 932
BAKERSFIELD CA 933U
BALTIMORE MD 212U
BALTIMORE MD 219
BANGOR ME 044
BANGOR ME 046
BANGOR ME 047
BANGOR ME 049
BARRIGADA GU 969
BATESVILLE AR 725
BATON ROUGE LA 707
BATON ROUGE LA 708U
BEAUMONT TX 776
BEAUMONT TX 777U
BECKLEY WV 258
BECKLEY WV 259
BEMIDJI MN 566
BEND OR 977
BERKELEY CA 947U
BILLINGS MT 590
BILLINGS MT 591U
BINGHAMTON NY 137
BINGHAMTON NY 138
BINGHAMTON NY 139U
BIRMINGHAM AL 350
BIRMINGHAM AL 351
BIRMINGHAM AL 352U
BIRMINGHAM AL 355
BIRMINGHAM AL 359
BISMARCK ND 585
BISMARCK ND 586
BLOOMINGTON IL 617
BLOOMINGTON IN 474
BLUEFIELD WV 246
BLUEFIELD WV 247
BLUEFIELD WV 248
BOISE ID 836
BOISE ID 837U
BOISE ID 979
BOSTON MA 021U
BOSTON MA 022U
BOULDER CO 803U
BOWLING GREEN KY 421
BOWLING GREEN KY 422
BRADFORD PA 167
BRAINERD MN 564
BRIDGEPORT CT 066U
BRISTOL VA 242
BROCKTON MA 020
BROCKTON MA 023
BRONX NY 104U
BROOKLYN NY 112U
BRYAN TX 778
BUFFALO NY 140
BUFFALO NY 141
BUFFALO NY 142U
BURBANK CA 915U
BURLINGTON IA 526
BURLINGTON VT 054
BURLINGTON VT 056
BUTTE MT 597
CAMDEN AR 717
CAMDEN NJ 081U
CAMPTON KY 413
CAMPTON KY 414
CANTON OH 446
CANTON OH 447U
CAPE COD MA 025
CAPE COD MA 026
CAPE GIRARDEAU MO 636
CAPE GIRARDEAU MO 637
CAPE GIRARDEAU MO 638
CAPE GIRARDEAU MO 639
CARBONDALE IL 629
CAROL STREAM IL 601
CARROLL IA 514
CARSON CITY NV 897U
CASPER WY 826
CEDAR RAPIDS IA 522
CEDAR RAPIDS IA 523
CEDAR RAPIDS IA 524U
CENTRAL MA 014
CENTRAL MA 015
CENTRAL MA 017
CENTRALIA IL 628
CHAMPAIGN IL 618
CHAMPAIGN IL 619
CHARLESTON SC 294
CHARLESTON WV 250
CHARLESTON WV 251
CHARLESTON WV 252
CHARLESTON WV 253U
CHARLOTTE NC 280
CHARLOTTE NC 281
CHARLOTTE NC 282U
CHARLOTTE NC 297
CHARLOTTESVLE VA 228
CHARLOTTESVLE VA 229
CHARLOTTESVLE VA 244
CHATTANOOGA TN 307
CHATTANOOGA TN 373
CHATTANOOGA TN 374U
CHEYENNE WY 820
CHICAGO IL 606U
CHICAGO IL 607
CHICAGO IL 608
CHILDRESS TX 792
CHILLICOTHE MO 646
CHILLICOTHE OH 456
CINCINNATI OH 410
CINCINNATI OH 450
CINCINNATI OH 451
CINCINNATI OH 452U
CINCINNATI OH 459
CINCINNATI OH 470
CLARKSBURG WV 262
CLARKSBURG WV 263
CLARKSBURG WV 264
CLARKSBURG WV 265
CLEVELAND OH 440
CLEVELAND OH 441U
CLINTON OK 736
CLOVIS NM 881
COLBY KS 677
COLORADO SPGS CO 808
COLORADO SPGS CO 809U
COLORADO SPGS CO 810
COLUMBIA SC 290
COLUMBIA SC 291
COLUMBIA SC 292U
COLUMBIA TN 384
COLUMBUS GA 318
COLUMBUS GA 319U
COLUMBUS IN 472
COLUMBUS MS 397
COLUMBUS OH 430
COLUMBUS OH 431
COLUMBUS OH 432U
COLUMBUS OH 433
CONCORD NH 033U
COOKEVILLE TN 385
CORPUS CHRISTI TX 783
CORPUS CHRISTI TX 784U
CRESTON IA 508
CULPEPER VA 227
CUMBERLAND MD 215
CUMBERLAND MD 267
DAKOTA CENTRAL SD 572
DAKOTA CENTRAL SD 573
DALLAS TX 751
DALLAS TX 752U
DALLAS TX 753U
DAVENPORT IA 528U
DAYTON OH 453
DAYTON OH 454U
DAYTONA BEACH FL 321
DECORAH IA 521
DENVER CO 800
DENVER CO 801
DENVER CO 802U
DENVER CO 804
DENVER CO 806
DENVER CO 807
DES MOINES IA 500
DES MOINES IA 501
DES MOINES IA 502
DES MOINES IA 503U
DES MOINES IA 509
DES MOINES IA 525
DETROIT LAKES MN 565
DETROIT MI 481
DETROIT MI 482U
DEVILS LAKE ND 583
DODGE CITY KS 678
DOTHAN AL 363
DU BOIS PA 158
DUBUQUE IA 520
DULLES VA 201
DULUTH MN 556
DULUTH MN 557
DULUTH MN 558U
DURANGO CO 813
DURANT OK 747
DURHAM NC 277U
EAST TEXAS TX 756
EAST TEXAS TX 757
EASTERN SHORE MD 216
EAU CLAIRE WI 547
EFFINGHAM IL 624
EL PASO TX 798
EL PASO TX 799U
EL PASO TX 885U
ELIZABETH NJ 072U
ELIZABETHTOWN KY 427
ELKO NV 898
ELMIRA NY 148
ELMIRA NY 149U
ELY NV 893
ENID OK 737
ERIE PA 164
ERIE PA 165U
EUGENE OR 974
EUREKA CA 955
EVANSTON IL 602U
EVANSVILLE IN 424
EVANSVILLE IN 476
EVANSVILLE IN 477U
EVERETT WA 982
EVERGREEN AL 364
FAIRBANKS AK 997
FAR ROCKAWAY NY 116U
FARGO ND 580
FARGO ND 581U
FARMINGTON NM 874
FARMVILLE VA 239
FAYETTEVILLE NC 283
FAYETTEVILLE NC 284
FLAGSTAFF AZ 860
FLINT MI 484
FLINT MI 485U
FLORENCE SC 295
FLUSHING NY 113U
FORT DODGE IA 505
FORT SMITH AR 729
FORT WAYNE IN 467
FORT WAYNE IN 468U
FOX VALLEY IL 605
FPO AE 095
FPO AP 966
FRANKFORT KY 406U
FREDERICK MD 217
FRESNO CA 936
FRESNO CA 937U
FRESNO CA 938
FT LAUDERDALE FL 333U
FT MYERS FL 339
FT MYERS FL 341
FT SCOTT KS 667
FT WORTH TX 760
FT WORTH TX 761U
FT WORTH TX 762
FT WORTH TX 764
GAINESVILLE FL 326
GAINESVILLE FL 344
GALESBURG IL 614
GALLUP NM 865
GALLUP NM 873
GARY IN 463
GARY IN 464U
GASSAWAY WV 266
GAYLORD MI 497
GILLETTE WY 827
GLENDALE CA 912U
GLENS FALLS NY 128
GLENWOOD SPRINGS CO 816
GLOBE AZ 855
GRAND FORKS ND 567
GRAND FORKS ND 582
GRAND ISLAND NE 688
GRAND ISLAND NE 689
GRAND JUNCTION CO 814
GRAND JUNCTION CO 815
GRAND RAPIDS MI 493
GRAND RAPIDS MI 494
GRAND RAPIDS MI 495U
GREAT FALLS MT 594
GREEN BAY WI 541
GREEN BAY WI 542
GREEN BAY WI 543U
GREENSBORO NC 270
GREENSBORO NC 272
GREENSBORO NC 273
GREENSBORO NC 274U
GREENSBURG PA 156
GREENVILLE MS 387
GREENVILLE SC 293
GREENVILLE SC 296
GREENVILLE TX 754
GRENADA MS 389
GULFPORT MS 395
HACKENSACK NJ 076
HARRISBURG PA 170
HARRISBURG PA 171U
HARRISBURG PA 172
HARRISBURG PA 178
HARRISON AR 726
HARRISONVILLE MO 647
HARTFORD CT 060
HARTFORD CT 061U
HARTFORD CT 062
HATTIESBURG MS 394
HAVRE MT 595
HAYS KS 676
HAZARD KY 417
HAZARD KY 418
HELENA MT 596
HICKORY NC 286
HICKSVILLE NY 118U
HONOLULU HI 967
HONOLULU HI 968U
HOT SPRINGS NTL PK AR 719
HOUMA LA 703
HOUSTON TX 770U
HOUSTON TX 771U
HOUSTON TX 772U
